,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
1403,1,2,1,9,17,0,14,9,5,5,13
551,0,3,1,4,0,0,17,9,0,5,14
1294,1,4,1,9,10,1,19,17,0,0,0
637,0,2,1,3,6,0,16,14,0,13,14
484,0,3,1,5,0,0,18,17,0,9,16
1161,1,8,1,3,12,0,5,5,0,4,4
1062,0,2,1,3,17,1,17,14,14,9,16
554,0,2,1,5,4,0,18,17,9,17,15
1114,1,4,1,4,6,0,17,15,0,11,14
1283,1,4,1,4,15,0,18,9,11,11,16
498,0,3,1,7,8,0,20,18,13,19,15
1101,1,3,1,7,8,0,0,0,0,0,0
320,0,3,1,4,3,0,10,10,6,10,14
343,0,2,1,7,8,0,19,11,8,19,14
856,0,4,1,9,10,0,13,14,11,18,13
282,0,4,1,4,4,0,0,0,0,0,0
1111,1,3,1,7,8,0,18,8,0,13,14
697,0,3,1,4,10,0,20,18,13,20,14
694,0,2,1,5,11,1,20,11,0,0,0
1200,1,4,1,11,17,1,15,12,9,13,10
1489,1,6,1,3,11,0,16,14,7,12,11
1144,1,3,1,3,1,0,0,0,0,0,0
326,0,3,1,4,11,0,0,0,0,0,0
333,0,4,1,4,5,0,0,0,0,0,0
849,0,4,1,3,17,1,14,4,5,9,9
331,0,3,1,4,11,0,4,5,9,8,12
706,0,3,1,5,5,0,19,13,11,17,14
964,0,3,1,4,13,0,0,0,0,0,0
1145,1,3,1,5,5,0,13,6,2,0,12
685,0,4,1,3,4,0,19,8,0,6,14
901,0,2,1,9,10,0,20,19,12,18,17
1256,1,2,1,4,6,0,13,13,0,13,13
653,0,3,1,4,18,0,20,17,15,17,16
1361,1,3,1,3,4,0,16,10,0,9,13
922,0,2,1,7,8,0,0,0,0,0,0
976,0,2,1,5,0,0,18,14,0,14,14
353,0,3,1,4,13,0,15,0,0,16,14
847,0,2,1,5,4,1,0,0,0,0,0
920,0,2,1,5,4,0,0,0,0,0,0
